provincia,,,,,,,
44162,,,,,,,
,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,
San José,,,,56622,38926,817,16879
,,Acosta,,675,559,4,112
,,,Cangrejal,57,51,0,6
,,,Guaitil,69,60,1,8
,,,Palmichal,154,121,1,32
,,,Sabanillas,24,16,0,8
,,,San Ignacio,368,308,2,58
,,,Sin información de distrito,3,3,0,0
,,Alajuelita,,5189,3279,60,1850
,,,Alajuelita,933,563,19,351
,,,Concepción,1217,750,13,454
,,,San Antonio,193,112,3,78
,,,San Felipe,2138,1429,22,687
,,,San Josecito,700,417,3,280
,,,Sin información de distrito,8,8,0,0
,,Aserrí,,1589,673,16,900
,,,Aserrí,963,417,10,536
,,,Legua,12,3,0,9
,,,Monterrey,7,3,0,4
,,,Salitrillos,232,110,5,117
,,,San Gabriel,100,31,1,68
,,,Tarbaca,57,17,0,40
,,,Vuelta de Jorco,201,75,0,126
,,,Sin información de distrito,17,17,0,0
,,Curridabat,,2911,2432,39,440
,,,Curridabat,1210,984,14,212
,,,Granadilla,546,455,10,81
,,,Sánchez,139,108,0,31
,,,Tirrases,999,868,15,116
,,,Sin información de distrito,17,17,0,0
,,Desamparados,,8522,3495,132,4895
,,,Damas,478,191,11,276
,,,Desamparados,1363,628,38,697
,,,Frailes,29,11,0,18
,,,Gravilias,405,150,5,250
,,,Los Guido,1134,480,17,637
,,,Patarra,344,147,3,194
,,,Rosario,53,26,2,25
,,,San Antonio,298,114,7,177
,,,San Cristobal,44,17,0,27
,,,San Juan de Dios,724,311,10,403
,,,San Miguel,1735,598,13,1124
,,,San Rafael Abajo,1231,584,9,638
,,,San Rafael Arriba,657,214,16,427
,,,Sin información de distrito,27,24,1,2
,,Dota,,36,23,0,13
,,,Copey,1,1,0,0
,,,Jardín,7,4,0,3
,,,Santa María,28,18,0,10
,,,Sin información de distrito,0,0,0,0
,,Escazú,,1965,1674,31,260
,,,Escazú,543,468,10,65
,,,San Antonio,605,529,11,65
,,,San Rafael,802,662,10,130
,,,Sin información de distrito,15,15,0,0
,,Goicoechea,,4121,3300,71,750
,,,Calle Blancos,487,349,8,130
,,,Guadalupe,921,703,21,197
,,,Ipis,875,711,22,142
,,,Mata de Plátano,523,427,6,90
,,,Purral,1111,937,11,163
,,,Rancho Redondo,118,102,0,16
,,,San Francisco,58,49,3,6
,,,Sin información de distrito,28,22,0,6
,,León Cortés Castro,,85,59,0,26
,,,Llano Bonito,7,3,0,4
,,,San Andrés,4,4,0,0
,,,San Antonio,14,14,0,0
,,,San Isidro,14,5,0,9
,,,San Pablo,30,26,0,4
,,,Santa Cruz,16,7,0,9
,,,Sin información de distrito,0,0,0,0
,,Montes de Oca,,1263,1023,14,226
,,,Mercedes,56,47,0,9
,,,Sabanilla,255,208,1,46
,,,San Pedro,635,502,9,124
,,,San Rafael,311,261,4,46
,,,Sin información de distrito,6,5,0,1
,,Mora,,922,746,12,164
,,,Colón,629,503,8,118
,,,Guayabo,130,102,3,25
,,,Jaris,6,5,0,1
,,,Picagres,8,7,0,1
,,,Piedras Negras,8,5,0,3
,,,Quitirrisí,15,13,0,2
,,,Tabarcia,122,107,1,14
,,,Sin información de distrito,4,4,0,0
,,Moravia,,1326,1030,17,279
,,,La Trinidad,576,462,8,106
,,,San Jerónimo,144,101,2,41
,,,San Vicente,601,462,7,132
,,,Sin información de distrito,5,5,0,0
,,Pérez Zeledón,,1227,241,9,977
,,,Barú,0,0,0,0
,,,Cajón,57,23,0,34
,,,Daniel Flores,391,68,5,318
,,,El General,3,3,0,0
,,,La  Amistad,7,0,0,7
,,,Paramo,22,6,0,16
,,,Pejibaye,72,5,1,66
,,,Platanares,50,11,0,39
,,,Río Nuevo,26,5,0,21
,,,Rivas,24,3,1,20
,,,San Isidro de El General,535,104,2,429
,,,San Pedro,36,11,0,25
,,,Sin información de distrito,4,2,0,2
,,Puriscal,,689,539,9,141
,,,Barbacoas,90,73,0,17
,,,Candelarita,22,18,1,3
,,,Chires,22,18,0,4
,,,Desamparaditos,15,13,0,2
,,,Grifo Alto,12,10,1,1
,,,Mercedes Sur,96,73,3,20
,,,San Antonio,111,85,0,26
,,,San Rafael,51,46,1,4
,,,Santiago,269,203,3,63
